iter	Passed	Remaining
840	7393	1397
841	7403	1389
842	7412	1380
843	7420	1371
844	7429	1362
845	7438	1353
846	7446	1345
847	7455	1336
848	7463	1327
849	7473	1318
850	7482	1310
851	7491	1301
852	7499	1292
853	7508	1283
854	7517	1274
855	7525	1266
856	7535	1257
857	7544	1248
858	7553	1239
859	7562	1231
860	7571	1222
861	7579	1213
862	7588	1204
863	7597	1195
864	7606	1187
865	7614	1178
866	7623	1169
867	7632	1160
868	7641	1151
869	7649	1143
870	7658	1134
871	7667	1125
872	7676	1116
873	7685	1107
874	7693	1099
875	7702	1090
876	7711	1081
877	7719	1072
878	7728	1063
879	7736	1055
880	7745	1046
881	7754	1037
882	7763	1028
883	7772	1019
884	7780	1011
885	7789	1002
886	7798	993
887	7806	984
888	7815	975
889	7824	967
890	7832	958
891	7841	949
892	7850	940
893	7858	931
894	7867	922
895	7876	914
896	7884	905
897	7893	896
898	7902	887
899	7911	879
900	7920	870
901	7928	861
902	7937	852
903	7946	843
904	7955	835
905	7964	826
906	7973	817
907	7982	808
908	7990	799
909	7999	791
910	8008	782
911	8017	773
912	8025	764
913	8034	755
914	8043	747
915	8052	738
916	8060	729
917	8069	720
918	8078	712
919	8087	703
920	8096	694
921	8105	685
922	8113	676
923	8122	668
924	8131	659
925	8139	650
926	8148	641
927	8157	632
928	8165	624
929	8174	615
930	8183	606
931	8192	597
932	8200	588
933	8209	580
934	8217	571
935	8226	562
936	8234	553
937	8244	544
938	8252	536
939	8261	527
940	8270	518
941	8279	509
942	8288	501
943	8297	492
944	8306	483
945	8315	474
946	8324	465
947	8333	457
948	8342	448
949	8350	439
950	8359	430
951	8368	421
952	8376	413
953	8385	404
954	8394	395
955	8403	386
956	8412	377
957	8420	369
958	8429	360
959	8438	351
960	8446	342
961	8455	334
962	8463	325
963	8472	316
964	8481	307
965	8490	298
966	8499	290
967	8508	281
968	8516	272
969	8525	263
970	8534	254
971	8543	246
972	8552	237
973	8561	228
974	8569	219
975	8578	210
976	8587	202
977	8596	193
978	8604	184
979	8613	175
980	8621	166
981	8630	158
982	8639	149
983	8647	140
984	8657	131
985	8665	123
986	8674	114
987	8683	105
988	8692	96
989	8701	87
990	8709	79
991	8718	70
992	8726	61
993	8735	52
994	8743	43
995	8752	35
996	8761	26
997	8769	17
998	8778	8
999	8787	0
